Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_ALL,GO:0000785~chromatin,14,17.28395061728400,5.98829435939801E-04,"7552, 7112, 6599, 7181, 79075, 23270, 60468, 3148, 10739, 6304, 79913, 6899, 5988, 57616",74,1275,20163,2.9918600953895100,0.15238302904717900,0.16527692431938500,16.52769243193850
GOTERM_CC_ALL,GO:0005694~chromosome,16,19.753086419753100,0.0025990295103797500,"7552, 7112, 285498, 6599, 7181, 79075, 23270, 60468, 3148, 10739, 6304, 79913, 91603, 6899, 5988, 57616",74,1875,20163,2.325102702702700,0.5124029575451010,0.25458302443094600,25.458302443094600
GOTERM_CC_ALL,GO:0044427~chromosomal part,15,18.51851851851850,0.002767206787292890,"7552, 7112, 285498, 6599, 7181, 79075, 23270, 60468, 3148, 10739, 6304, 79913, 6899, 5988, 57616",74,1696,20163,2.4098435109637900,0.5345766011922680,0.25458302443094600,25.458302443094600
GOTERM_BP_ALL,GO:0007416~synapse assembly,5,6.172839506172840,0.0037056276256100600,"23768, 56133, 26167, 140689, 9231",71,173,19157,7.7981763412847000,0.9990553250390310,1.0,100.0
GOTERM_BP_ALL,GO:0051260~protein homooligomerization,5,6.172839506172840,0.00607247238590245,"200186, 220, 9312, 130535, 3788",71,199,19157,6.779319130865600,0.9999890993434700,1.0,100.0
GOTERM_BP_ALL,GO:0071805~potassium ion transmembrane transport,5,6.172839506172840,0.00845980112084415,"10723, 9312, 54800, 1739, 3788",71,219,19157,6.160203228503440,0.9999998802786570,1.0,100.0
GOTERM_BP_ALL,GO:0071804~cellular potassium ion transport,5,6.172839506172840,0.00845980112084415,"10723, 9312, 54800, 1739, 3788",71,219,19157,6.160203228503440,0.9999998802786570,1.0,100.0
GOTERM_BP_ALL,GO:0050808~synapse organization,6,7.4074074074074100,0.008466196296037650,"23768, 56133, 26167, 140689, 1739, 9231",71,344,19157,4.706108745496230,0.9999998817185270,1.0,100.0
GOTERM_BP_ALL,GO:0009653~anatomical structure morphogenesis,19,23.456790123456800,0.01119294160199290,"23768, 9331, 161742, 6599, 4233, 5784, 9231, 220, 26051, 1116, 89958, 1630, 57619, 54757, 1739, 6899, 80031, 1846, 154197",71,2822,19157,1.8166269053014000,0.9999999993250330,1.0,100.0
GOTERM_BP_ALL,GO:0060429~epithelium development,11,13.580246913580200,0.01139129422504630,"220, 26051, 9079, 89958, 161742, 4233, 57619, 23596, 6899, 1739, 9231",71,1198,19157,2.4774506807119800,0.9999999995367330,1.0,100.0
GOTERM_BP_ALL,GO:0006813~potassium ion transport,5,6.172839506172840,0.012386179048064100,"10723, 9312, 54800, 1739, 3788",71,245,19157,5.506467375682670,0.9999999999299340,1.0,100.0
GOTERM_BP_ALL,GO:0009888~tissue development,15,18.51851851851850,0.012860084628464000,"9079, 161742, 4233, 23596, 9231, 220, 26051, 1116, 89958, 57619, 54757, 1739, 6899, 80031, 1846",71,2009,19157,2.014561235005850,0.9999999999715250,1.0,100.0
GOTERM_BP_ALL,GO:0051259~protein oligomerization,5,6.172839506172840,0.015106877504968100,"200186, 220, 9312, 130535, 3788",71,260,19157,5.188786565547130,0.9999999999996040,1.0,100.0
GOTERM_BP_ALL,GO:0015672~monovalent inorganic cation transport,7,8.641975308641980,0.01553600988198030,"10723, 9312, 201780, 92270, 54800, 1739, 3788",71,553,19157,3.4154038152968400,0.999999999999825,1.0,100.0
GOTERM_CC_ALL,GO:0005912~adherens junction,7,8.641975308641980,0.015964497605745700,"23768, 84978, 57619, 9815, 54800, 1739, 9231",74,561,20163,3.399841017488080,0.988224705204146,0.9981610702129660,99.81610702129660
GOTERM_BP_ALL,GO:0050790~regulation of catalytic activity,17,20.98765432098770,0.017425478990633200,"9079, 161742, 4233, 9732, 124056, 23101, 79075, 26051, 1116, 3148, 54757, 9815, 10144, 1739, 3843, 5988, 1846",71,2513,19157,1.825263559070300,0.9999999999999950,1.0,100.0
GOTERM_CC_ALL,GO:0070161~anchoring junction,7,8.641975308641980,0.018082628083568200,"23768, 84978, 57619, 9815, 54800, 1739, 9231",74,577,20163,3.305564663450280,0.9935034255070990,0.9981610702129660,99.81610702129660
GOTERM_BP_ALL,GO:0065009~regulation of molecular function,20,24.691358024691400,0.019787508062442200,"9079, 161742, 4233, 9732, 124056, 23101, 79075, 200186, 26051, 1116, 3148, 54757, 9815, 54800, 10144, 1739, 3843, 5988, 3788, 1846",71,3219,19157,1.6764019969459500,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0043412~macromolecule modification,24,29.629629629629600,0.024351959156996300,"9331, 51809, 161742, 285498, 4233, 5784, 6489, 23596, 54482, 79075, 200186, 81786, 84899, 26051, 1116, 10739, 54757, 54800, 1739, 92912, 6899, 3843, 5988, 1846",71,4226,19157,1.5323250434933300,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0006464~cellular protein modification process,23,28.39506172839510,0.026003515905336700,"9331, 51809, 161742, 285498, 4233, 5784, 6489, 23596, 79075, 200186, 81786, 84899, 26051, 1116, 10739, 54757, 54800, 1739, 92912, 6899, 3843, 5988, 1846",71,4013,19157,1.5464213138286500,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0036211~protein modification process,23,28.39506172839510,0.026003515905336700,"9331, 51809, 161742, 285498, 4233, 5784, 6489, 23596, 79075, 200186, 81786, 84899, 26051, 1116, 10739, 54757, 54800, 1739, 92912, 6899, 3843, 5988, 1846",71,4013,19157,1.5464213138286500,1.0,1.0,100.0
GOTERM_BP_ALL,GO:1901016~regulation of potassium ion transmembrane transporter activity,3,3.7037037037037000,0.027093863053763300,"54800, 1739, 3788",71,70,19157,11.563581488933600,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0051338~regulation of transferase activity,9,11.11111111111110,0.027205956703571700,"1116, 9079, 161742, 4233, 54757, 1739, 3843, 79075, 1846",71,988,19157,2.457846267890750,1.0,1.0,100.0
GOTERM_MF_ALL,GO:0030695~GTPase regulator activity,5,6.172839506172840,0.02872737803853220,"9732, 9815, 23596, 10144, 3843",70,315,18765,4.255102040816330,0.9999274637495160,1.0,100.0
GOTERM_BP_ALL,GO:0048729~tissue morphogenesis,7,8.641975308641980,0.0291248703933794,"220, 89958, 4233, 57619, 6899, 1739, 9231",71,639,19157,2.9557407040049400,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0034728~nucleosome organization,4,4.938271604938270,0.03194802054170910,"23270, 3148, 6599, 79913",71,189,19157,5.710410611819060,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0048646~anatomical structure formation involved in morphogenesis,10,12.345679012345700,0.033705912758344900,"220, 26051, 1116, 161742, 5784, 57619, 54757, 6899, 1846, 154197",71,1225,19157,2.202586950273070,1.0,1.0,100.0
GOTERM_BP_ALL,"GO:0006355~regulation of transcription, DNA-templated",21,25.925925925925900,0.035312078673105100,"7552, 7562, 9079, 6599, 4233, 5784, 7181, 286826, 79230, 200186, 60468, 3621, 3148, 10739, 6304, 79913, 1739, 6899, 5988, 54816, 57616",71,3657,19157,1.5493997619845400,1.0,1.0,100.0
GOTERM_BP_ALL,GO:1903506~regulation of nucleic acid-templated transcription,21,25.925925925925900,0.035495495554858700,"7552, 7562, 9079, 6599, 4233, 5784, 7181, 286826, 79230, 200186, 60468, 3621, 3148, 10739, 6304, 79913, 1739, 6899, 5988, 54816, 57616",71,3659,19157,1.5485528640550600,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0007399~nervous system development,16,19.753086419753100,0.035731934680073400,"23768, 9331, 9079, 6599, 4233, 9231, 220, 56133, 3148, 1630, 26167, 57619, 140689, 1739, 6899, 80031",71,2512,19157,1.7185789898627400,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0043549~regulation of kinase activity,8,9.876543209876540,0.036972478077081700,"1116, 9079, 161742, 4233, 54757, 1739, 3843, 1846",71,859,19157,2.5128465788912800,1.0,1.0,100.0
GOTERM_BP_ALL,GO:2001141~regulation of RNA biosynthetic process,21,25.925925925925900,0.03698910046819510,"7552, 7562, 9079, 6599, 4233, 5784, 7181, 286826, 79230, 200186, 60468, 3621, 3148, 10739, 6304, 79913, 1739, 6899, 5988, 54816, 57616",71,3675,19157,1.5418108651911500,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0070373~negative regulation of ERK1 and ERK2 cascade,3,3.7037037037037000,0.038680573154876300,"161742, 1739, 1846",71,85,19157,9.522949461474730,1.0,1.0,100.0
GOTERM_BP_ALL,GO:0071840~cellular component organization or biogenesis,34,41.9753086419753,0.03960418156460610,"23768, 285498, 6599, 4233, 124056, 130535, 79075, 26051, 56133, 89958, 1630, 6304, 79913, 55329, 1739, 91603, 9312, 9331, 9079, 9231, 220, 10723, 200186, 23270, 84978, 3148, 3621, 51454, 26167, 57619, 54800, 140689, 3788, 80031",71,6945,19157,1.3209178758657100,1.0,1.0,100.0
GOTERM_MF_ALL,GO:0019902~phosphatase binding,4,4.938271604938270,0.040273689913017700,"26051, 161742, 4233, 1739",70,206,18765,5.205270457697640,0.999998547219318,1.0,100.0
GOTERM_MF_ALL,GO:0060589~nucleoside-triphosphatase regulator activity,5,6.172839506172840,0.04351574633015840,"9732, 9815, 23596, 10144, 3843",70,360,18765,3.7232142857142900,0.9999995195494500,1.0,100.0
GOTERM_BP_ALL,GO:0002009~morphogenesis of an epithelium,6,7.4074074074074100,0.04406372240819680,"220, 89958, 4233, 57619, 1739, 9231",71,529,19157,3.0603051199446200,1.0,1.0,100.0
