Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
FOXG1,A_23_P205428,0.9704,0.7816,0.6492,9.7191,0.653
HOXB3,A_24_P399220,0.9691,0.4906,0.3753,6.7624,0.371
HOXB2,A_23_P107283,0.9616,0.6431,0.5155,7.2385,0.512
ITPKA,A_23_P65918,0.9595,0.8348,0.678,7.8595,0.681
BAIAP2,A_23_P61810,0.9571,0.8814,0.7926,5.3496,0.795
NRGN,A_23_P116264,0.9561,0.8953,0.7865,7.9789,0.788
ICAM5,A_23_P119143,0.9557,0.8361,0.6516,6.7664,0.658
HOXA2,A_24_P200854,0.9537,0.5275,0.3871,6.4276,0.385
C2orf55,CUST_8309_PI416261804,0.9513,0.7973,0.6334,6.5074,0.637
GDA,A_24_P393571,0.9511,0.8724,0.7887,10.1035,0.791
GABRA6,A_23_P41847,0.9502,0.4114,0.16,5.2988,0.161
NPTX1,A_23_P124905,0.9493,0.8972,0.7995,8.7242,0.801
SHOX2,A_23_P124384,0.9485,0.752,0.6657,10.0557,0.663
PVALB,A_23_P17844,0.9474,0.8959,0.8041,11.8971,0.806
FEZF2,A_24_P405631,0.9474,0.7992,0.6539,8.7214,0.659
MKL2,A_23_P54556,0.947,0.8802,0.7716,4.2684,0.773
PLK2,A_23_P30254,0.9469,0.8869,0.7443,6.2427,0.746
C14orf23,CUST_10655_PI416261804,0.9466,0.8016,0.6324,9.1157,0.637
MMD,A_23_P164047,0.9459,0.8929,0.7546,4.9064,0.759
RPRML,A_32_P3476,0.9446,0.8445,0.7716,10.7512,0.772
CRNDE,A_32_P104063,0.9444,0.8427,0.7067,7.5426,0.71
KANK4,A_32_P51237,0.9443,0.8887,0.7898,7.6609,0.789
PCP2,A_24_P399500,0.9418,0.6273,0.3687,6.4475,0.375
TCF7L2,A_24_P921823,0.9414,0.7792,0.6424,6.5637,0.641
ENC1,A_23_P213424,0.94,0.8778,0.7587,7.3216,0.761
STX1A,A_23_P82420,0.9399,0.876,0.775,6.2476,0.776
CREG2,A_23_P394986,0.9389,0.8566,0.6952,7.1456,0.699
PDE2A,A_23_P401106,0.9387,0.8088,0.682,6.1178,0.685
GPRIN2,CUST_120_PI416379584,0.9376,0.8603,0.7172,7.4702,0.721
NEUROD2,A_32_P25295,0.9372,0.8724,0.7585,12.893,0.76
LMO7,A_23_P205159,0.9371,0.8766,0.7363,5.504,0.738
IRX5,A_24_P48057,0.9371,0.8125,0.7035,8.0735,0.705
PLCB4,CUST_9880_PI416261804,0.9363,0.8923,0.7578,5.2964,0.76
NGEF,A_23_P102364,0.936,0.9014,0.7647,7.1823,0.768
HOXB5,A_23_P363316,0.9351,0.4398,0.3252,9.3724,0.322
IRX2,A_23_P156025,0.9349,0.8663,0.7557,9.9294,0.758
CAMK2A,A_24_P380311,0.9348,0.8796,0.777,8.8609,0.779
CORT,A_24_P246926,0.9341,0.8058,0.6461,6.2356,0.651
LRRC7,A_23_P160273,0.9313,0.8566,0.7538,7.0597,0.757
RCAN3,A_23_P391275,0.9312,0.8633,0.701,5.4015,0.704
DAO,A_23_P139635,0.931,0.8324,0.7363,12.4908,0.735
PCDH8,A_23_P36985,0.9309,0.879,0.7791,9.0809,0.779
AK5,A_23_P200015,0.9306,0.83,0.7038,4.7305,0.706
GABRA5,CUST_1321_PI417557136,0.9305,0.8766,0.7863,8.1366,0.786
RGS4,A_23_P200737,0.9302,0.8754,0.7344,5.9488,0.74
C19orf46,A_23_P350074,0.9301,0.8221,0.7094,6.568,0.711
DLX1,A_32_P142818,0.93,0.8234,0.6857,9.8048,0.688
HS3ST5,A_23_P351295,0.9299,0.8881,0.7495,5.7846,0.75
SLC30A3,A_23_P302568,0.9299,0.8578,0.7384,12.3183,0.741
ANKRD43,A_23_P304110,0.9289,0.8851,0.7619,6.8074,0.764
SUSD2,A_23_P314101,0.9289,0.85,0.7655,7.4818,0.765
LPPR4,A_32_P148538,0.9289,0.8857,0.7682,4.9842,0.768
ZNF831,A_32_P206479,0.9285,0.8312,0.6885,9.6936,0.694
PPP3CA,A_23_P92623,0.9282,0.8796,0.7274,4.3836,0.731
SLC17A7,CUST_318_PI417557136,0.9282,0.761,0.5791,9.9747,0.585
SLC6A11,A_23_P418562,0.9276,0.827,0.681,7.0925,0.685
LZTS1,A_23_P20443,0.9275,0.8627,0.7094,7.5231,0.711
TESC,A_23_P76538,0.9269,0.873,0.7311,5.4197,0.733
KCNV1,A_23_P146125,0.9265,0.8693,0.7223,9.7986,0.725
AGPAT9,A_23_P69810,0.9259,0.8651,0.7568,7.4126,0.759
RHOBTB2,CUST_16615_PI416261804,0.9259,0.8736,0.7642,7.3073,0.766
EPN3,A_23_P130027,0.9257,0.8603,0.7576,10.3222,0.759
HOXD3,A_23_P323180,0.9257,0.7229,0.5672,8.7076,0.564
DIRAS3,A_23_P149121,0.9253,0.876,0.7766,9.1837,0.777
OTP,A_23_P84230,0.925,0.4894,0.4543,9.9034,0.45
CAMKK2,A_23_P408830,0.9246,0.8524,0.7545,6.4739,0.757
LHX2,A_23_P32165,0.9244,0.8899,0.7676,9.2546,0.77
MEF2C,A_23_P320739,0.9244,0.8185,0.6462,5.4324,0.652
CAMKV,A_23_P29680,0.9243,0.8627,0.7782,8.9687,0.777
ANO3,A_23_P35725,0.9241,0.899,0.7598,10.595,0.761
SMPD3,A_23_P163567,0.9239,0.8754,0.7565,5.6076,0.757
MICAL2,A_23_P24843,0.9234,0.8282,0.6503,5.6643,0.656
KCNC2,A_23_P139841,0.9233,0.873,0.7493,7.6094,0.751
TIAM2,A_24_P303454,0.9233,0.8675,0.7556,7.0103,0.759
HOXA6,CUST_14334_PI416261804,0.9231,0.5094,0.3233,8.7961,0.32
LDB2,A_23_P125253,0.9229,0.8808,0.7462,7.1277,0.749
GATA3,CUST_15960_PI416261804,0.9227,0.8094,0.7038,8.5218,0.702
OLFM1,CUST_2109_PI416261804,0.9225,0.8312,0.6606,5.3034,0.665
CDH9,A_23_P92999,0.9222,0.8808,0.7697,7.2833,0.773
ZIC1,A_23_P367618,0.9219,0.8669,0.7392,6.7698,0.738
FLJ43860,CUST_1613_PI416261804,0.9218,0.8863,0.7726,8.3626,0.773
TMEM90A,A_24_P595237,0.9217,0.8457,0.7201,9.7376,0.719
