gene_symbol,gene_name,regulation,entrez_id,p_value,BH_adjusted_p_value,bonferroni_p_value,probe_id,X,probe_name,is_reannotated,chromosome
ANXA1,annexin A1,Up,301,1.01731237900943e-11,7.439363451492036e-8,1.0187366163400431e-7,1059197,41725,A_23_P94501,FALSE,chr9
SMIM32,small integral membrane protein 32,Up,389332,1.9940259359715964e-11,7.439363451492036e-8,1.9968175722819567e-7,1018313,6262,A_24_P289665,FALSE,chr5
FABP6,fatty acid binding protein 6,Up,2172,2.2286888710281715e-11,7.439363451492036e-8,2.231809035447611e-7,1057093,39909,A_23_P43846,FALSE,chr5
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Up,5294,6.798846394583259e-10,1.702091194883919e-6,6.808364779535676e-6,1060417,42158,A_24_P637651,TRUE,chr7
RGS12,regulator of G protein signaling 12,Up,6002,2.171964871743725e-9,4.350011245128332e-6,2.175005622564166e-5,1052193,35958,A_23_P352435,FALSE,chr4
LMO3,LIM domain only 3,Up,55885,7.658043657870512e-9,1.2781274864985885e-5,7.66876491899153e-5,1026707,13238,A_24_P381441,FALSE,chr12
LGALS2,galectin 2,Up,3957,9.782178934676088e-9,1.3994105693120907e-5,9.795873985184635e-5,1054593,38024,A_23_P120902,FALSE,chr22
NR4A2,nuclear receptor subfamily 4 group A member 2,Up,4929,2.175072094370867e-8,2.7226464941287327e-5,2.1781171953029862e-4,1053510,37098,A_23_P131208,FALSE,chr2
OPRK1,opioid receptor kappa 1,Up,4986,2.4700260942912957e-8,2.7483157009147817e-5,2.473484130823304e-4,1021758,9044,A_32_P33576,FALSE,chr8
SCGB3A1,secretoglobin family 3A member 1,Up,92304,4.873054488878702e-8,4.8798767651631324e-5,4.8798767651631324e-4,1036605,22084,A_23_P30217,FALSE,chr5
CD52,CD52 molecule,Up,1043,6.031060226212086e-8,5.49045791866253e-5,6.039503710528783e-4,1058341,40950,A_23_P85800,FALSE,chr1
SPATA18,spermatogenesis associated 18,Up,132671,8.132683749937545e-8,6.50899217088539e-5,8.144069507187457e-4,1035251,20836,A_23_P407112,FALSE,chr4
TSHZ3,teashirt zinc finger homeobox 3,Down,57616,8.44986001812563e-8,6.50899217088539e-5,8.461689822151006e-4,1040515,25709,A_23_P361014,FALSE,chr19
TMEM196,transmembrane protein 196,Up,256130,1.0369345942173134e-7,7.417045018922984e-5,0.0010383863026492176,1032818,18623,CUST_6674_PI416261804,FALSE,chr7
MET,"MET proto-oncogene, receptor tyrosine kinase",Down,4233,1.8438648992266663e-7,1.1673062511042117e-4,0.0018464463100855836,1054196,37703,A_23_P359245,FALSE,chr7
SLC17A8,solute carrier family 17 member 8,Up,246213,1.865078891318892e-7,1.1673062511042117e-4,0.0018676900017667386,1010718,334,A_23_P159076,FALSE,chr12
PPP1R17,protein phosphatase 1 regulatory subunit 17,Up,10842,3.1154626927521453e-7,1.8351907885423517e-4,0.0031198243405219984,1015661,44645,A_23_P145724,FALSE,chr7
NRAP,nebulin related anchoring protein,Up,4892,5.37087707751367e-7,2.9879979474567724e-4,0.00537839630542219,1055786,38979,A_23_P402765,TRUE,chr10
PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,Up,5502,6.316504696628174e-7,3.32913042273866e-4,0.006325347803203454,1052796,36490,A_23_P53417,FALSE,chr12
BCL11B,BAF chromatin remodeling complex subunit BCL11B,Up,64919,1.0355019591650227e-6,5.184758309539269e-4,0.010369516619078537,1029568,15729,A_23_P205738,FALSE,chr14
CDH13,cadherin 13,Up,1012,1.313166659833474e-6,6.003659778137436e-4,0.013150050931572408,1058383,40989,CUST_150_PI416408490,FALSE,chr16
SAPCD2,suppressor APC domain containing 2,Down,89958,1.3606730472926447e-6,6.003659778137436e-4,0.013625779895588544,1016100,47218,A_32_P152696,TRUE,chr9
MARCO,macrophage receptor with collagenous structure,Up,8685,1.4073162991055727e-6,6.003659778137436e-4,0.014092865419243206,1049427,33736,A_23_P101992,FALSE,chr2
LYZL4,lysozyme like 4,Up,131375,1.4388639372408473e-6,6.003659778137436e-4,0.014408783467529844,1035297,20879,A_23_P121144,FALSE,chr3
CHI3L1,chitinase 3 like 1,Down,1116,1.679393206499151e-6,6.726977427953e-4,0.0168174435698825,1058265,40883,A_23_P137665,FALSE,chr1
