gene_symbol,gene_name,regulation,entrez_id,p_value,BH_adjusted_p_value,bonferroni_p_value,probe_id,X,probe_name,is_reannotated,chromosome
MET,"MET proto-oncogene, receptor tyrosine kinase",Down,4233,1.13379844034462e-8,9.46154798467584e-6,1.1353857581611e-4,1054196,37703,A_23_P359245,FALSE,chr7
TSHZ3,teashirt zinc finger homeobox 3,Down,57616,7.3114981988159e-8,4.30690252723191e-5,7.32173429629424e-4,1040515,25709,A_23_P361014,FALSE,chr19
SAPCD2,suppressor APC domain containing 2,Down,89958,1.82923350535652e-6,6.41249634132743e-4,0.0183179443226401,1016100,47218,A_32_P152696,TRUE,chr9
CHI3L1,chitinase 3 like 1,Down,1116,1.97230152875974e-6,6.58354250300002e-4,0.0197506275090001,1058265,40883,A_23_P137665,FALSE,chr1
NIPAL2,NIPA like domain containing 2,Down,79815,3.34677437225939e-6,9.05799961183933e-4,0.0335145985638055,1061229,42326,A_24_P798709,TRUE,chr8
SATB1,SATB homeobox 1,Down,6304,4.16108368949967e-6,0.00101631931869877,0.0416690920666497,1014376,3187,CUST_12143_PI416261804,FALSE,chr3
MCF2L2,MCF.2 cell line derived transforming sequence-like 2,Down,23101,4.62581577786609e-6,0.00110292664760836,0.046322919199551,1046026,30693,A_23_P432444,FALSE,chr3
SLC44A5,solute carrier family 44 member 5,Down,204962,7.22527987916429e-6,0.00153944580233939,0.0723539527099512,1014151,3001,CUST_6034_PI416261804,FALSE,chr1
FAM162B,family with sequence similarity 162 member B,Down,221303,1.05578588602005e-5,0.00205215943874947,0.105726398626048,1015738,4279,A_23_P145054,FALSE,chr6
PCDHB2,protocadherin beta 2,Down,56133,1.22901996743758e-5,0.00215994016433097,0.123074059539199,1041329,26415,A_23_P213375,FALSE,chr5
PNLDC1,"PARN like, ribonuclease domain containing 1",Down,154197,1.72400645609889e-5,0.00279318456804146,0.172642006513743,1034218,19893,A_23_P323243,FALSE,chr6
DCBLD1,"discoidin, CUB and LCCL domain containing 1",Down,285761,2.72151020314512e-5,0.00383847932032328,0.272532031742953,1032276,18150,A_23_P409462,FALSE,chr6
TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4,Down,84899,3.52222914136594e-5,0.00470288034955181,0.352716026216386,1017191,5371,A_23_P65230,FALSE,chr13
TMPO,thymopoietin,Down,7112,3.91970470580934e-5,0.00509765232778893,0.392519229239747,1030733,46943,CUST_4027_PI416261804,FALSE,chr12
TBX1,T-box transcription factor 1,Down,6899,4.69599045256535e-5,0.00553242922258699,0.470256483919894,1030073,16192,A_23_P211345,FALSE,chr22
SLC10A4,solute carrier family 10 member 4,Down,201780,6.21896570095323e-5,0.00666493864922434,0.622767225293457,1033436,19194,A_23_P314811,FALSE,chr4
SNTG1,syntrophin gamma 1,Down,54212,6.81868408910727e-5,0.00703941262560002,0.682823024683202,1064668,43213,A_23_P112100,TRUE,chr8
DSCC1,DNA replication and sister chromatid cohesion 1,Down,79075,7.17477190323733e-5,0.00733144549377741,0.718481658390186,1039390,24678,CUST_10772_PI416261804,FALSE,chr8
ACTR5,actin related protein 5,Down,79913,1.49513087859856e-4,0.0127967868532359,1,1038813,24138,A_23_P165952,FALSE,chr20
RFPL2,ret finger protein like 2,Down,10739,1.60052320403456e-4,0.0134686045085732,1,1016244,4664,A_23_P254434,TRUE,chr22
SKIDA1,SKI/DACH domain containing 1,Down,387640,1.67948742900201e-4,0.0138994934826663,1,1031481,17422,A_32_P152767,FALSE,chr10
